w,na ,neff,re(neff),imag(neff),loss,SA(1/RIU),rg(um)
1.22,1.34,1.4267857373911015-1.799991209329229E-5i,1.426785737,1.80E-05,8.220836596,-16.9082023,0.3
1.24,1.34,1.4260034616881494-1.900244245423147E-5i,1.426003462,1.90E-05,8.53872847,-15.27286301,0.3
1.26,1.34,1.4252191703308719-2.008659172234415E-5i,1.42521917,2.01E-05,8.882621764,-13.78603058,0.3
1.28,1.34,1.4244328087569107-2.125329672957749E-5i,1.424432809,2.13E-05,9.251705471,-12.42892251,0.3
1.3,1.34,1.4236443325064343-2.2503767960483032E-5i,1.423644333,2.25E-05,9.645335781,-11.18580289,0.3
1.32,1.34,1.4228537057080957-2.3839420158773116E-5i,1.422853706,2.38E-05,10.06299413,-10.04338437,0.3
1.34,1.34,1.4220608997599788-2.5261817293480805E-5i,1.4220609,2.53E-05,10.50425495,-8.990367839,0.3
1.36,1.34,1.4212658921810424-2.6772628069037622E-5i,1.421265892,2.68E-05,10.96876062,-8.017083635,0.3
1.38,1.34,1.4204686656124912-2.837358927401933E-5i,1.420468666,2.84E-05,11.45620177,-7.115208633,0.3
1.4,1.34,1.4196692069515278-3.0066475025579733E-5i,1.419669207,3.01E-05,11.96630151,-6.277540913,0.3
0.6,1.35,1.4519326121508436-1.7606246741521551E-6i,1.451932612,1.76E-06,1.635012194,13.58743977,0.3
0.62,1.35,1.4509099101368526-3.7372373872308827E-6i,1.45090991,3.74E-06,3.358647748,28.59805732,0.3
0.64,1.35,1.449933278279891-8.255255217633722E-6i,1.449933278,8.26E-06,7.187138149,7.634221176,0.3
0.66,1.35,1.4489905803883887-4.6339032783962005E-6i,1.44899058,4.63E-06,3.912086885,-83.36274341,0.3
0.68,1.35,1.4480731030123783-3.783796733653337E-6i,1.448073103,3.78E-06,3.100447256,-14.87130753,0.3
0.7,1.35,1.4471798886032485-4.494945231116285E-6i,1.447179889,4.49E-06,3.577929895,14.78969251,0.3
0.72,1.35,1.4463063241825103-6.383767463824046E-6i,1.446306324,6.38E-06,4.940262492,29.85181177,0.3
0.74,1.35,1.4454478354979923-1.0272645452149603E-5i,1.445447835,1.03E-05,7.734923841,41.48893228,0.3
0.76,1.35,1.4445999282579949-1.8786113435832938E-5i,1.444599928,1.88E-05,13.77300834,52.95985887,0.3
0.78,1.35,1.4437601119524994-3.684378705964597E-5i,1.443760112,3.68E-05,26.31934781,61.64780815,0.3
0.8,1.35,1.4429209090788855-7.422087262149205E-5i,1.442920909,7.42E-05,51.69416581,66.4494637,0.3
0.82,1.35,1.4421011706091114-1.8870564361953536E-4i,1.442101171,0.000188706,128.2261193,74.59684771,0.3
0.84,1.35,1.441531018672689-2.782011501284633E-4i,1.441531019,0.000278201,184.5376975,67.80378338,0.3
0.86,1.35,1.4408031950176303-1.3385105765971746E-4i,1.440803195,0.000133851,86.72190681,-42.67609662,0.3
0.88,1.35,1.4400036070229791-7.454988505095849E-5i,1.440003607,7.45E-05,47.20301818,-546.580734,0.3
0.9,1.35,1.4392090756162845-4.913750747506462E-5i,1.439209076,4.91E-05,30.42118141,-436.2768444,0.3
0.92,1.35,1.4384229193858662-3.642486156100412E-5i,1.438422919,3.64E-05,22.06050983,-288.0226871,0.3
0.94,1.35,1.43764296854035-2.9291308041495728E-5i,1.437642969,2.93E-05,17.36266456,-207.0027818,0.3
0.96,1.35,1.4368672816042465-2.496774250310389E-5i,1.436867282,2.50E-05,14.4915055,-158.6657368,0.3
0.98,1.35,1.4360944539042053-2.2219617273448486E-5i,1.436094454,2.22E-05,12.63327532,-127.2981735,0.3
1,1.35,1.4353234644657509-2.043315187284648E-5i,1.435323464,2.04E-05,11.38520423,-105.5048484,0.3
1.02,1.35,1.4345535461896057-1.9275997942215844E-5i,1.434553546,1.93E-05,10.52984945,-89.53273883,0.3
1.04,1.35,1.4337841042129167-1.855567917818497E-5i,1.433784104,1.86E-05,9.941432732,-77.3284586,0.3
1.06,1.35,1.433014665764527-1.8154608662120457E-5i,1.433014666,1.82E-05,9.543034391,-67.69174826,0.3
1.08,1.35,1.4322448484149761-1.799782128831002E-5i,1.432244848,1.80E-05,9.285421913,-59.88048514,0.3
1.1,1.35,1.4314743390634392-1.8035873052268462E-5i,1.431474339,1.80E-05,9.135870757,-53.41351004,0.3
1.12,1.35,1.4307028793772927-1.823526922344806E-5i,1.430702879,1.82E-05,9.071928514,-47.96603875,0.3
1.14,1.35,1.4299302552620432-1.8572852027856408E-5i,1.429930255,1.86E-05,9.077770727,-43.31115916,0.3
1.16,1.35,1.42915628895397-1.903237587293821E-5i,1.429156289,1.90E-05,9.141984472,-39.28556337,0.3
1.18,1.35,1.4283808328898957-1.960234359986543E-5i,1.428380833,1.96E-05,9.256172777,-35.76865422,0.3
1.2,1.35,1.4276037648282172-2.0274597040261223E-5i,1.427603765,2.03E-05,9.414048854,-32.66935166,0.3
1.22,1.35,1.4268249838827234-2.1043373644650896E-5i,1.426824984,2.10E-05,9.610832279,-29.91749981,0.3
1.24,1.35,1.4260444072439438-2.1904659459552587E-5i,1.426044407,2.19E-05,9.842836773,-27.45811472,0.3
1.26,1.35,1.425261967433239-2.285573540018976E-5i,1.425261967,2.29E-05,10.10718272,-25.24743802,0.3
1.28,1.35,1.424477609980011-2.389485251132919E-5i,1.42447761,2.39E-05,10.40159277,-23.25016913,0.3
1.3,1.35,1.4236912914421755-2.5020995087005587E-5i,1.423691291,2.50E-05,10.72424403,-21.43748474,0.3
1.32,1.35,1.4229029777101514-2.623370475592402E-5i,1.422902978,2.62E-05,11.0736593,-19.78559576,0.3
1.34,1.35,1.4221126425486061-2.7532947590909673E-5i,1.422112643,2.75E-05,11.4486261,-18.27467813,0.3
1.36,1.35,1.4213202663400868-2.8919012052605593E-5i,1.421320266,2.89E-05,11.84813534,-16.88806874,0.3
1.38,1.35,1.420525835001898-3.0392429347557645E-5i,1.420525835,3.04E-05,12.27133442,-15.61165201,0.3
1.4,1.35,1.4197293390529062-3.1953910296267446E-5i,1.419729339,3.20E-05,12.71749098,-14.4333861,0.3
0.6,1.36,1.451932979440918-1.5214008570489627E-6i,1.451932979,1.52E-06,1.412855897,10.16945491,0.3
0.62,1.36,1.4509103217802117-2.6684600968762395E-6i,1.450910322,2.67E-06,2.39813974,23.41748827,0.3
0.64,1.36,1.4499294320410017-7.62503077563821E-6i,1.449929432,7.63E-06,6.638456127,39.02563365,0.3
0.66,1.36,1.4489928695887084-8.496852178414728E-6i,1.44899287,8.50E-06,7.173309837,-64.34460894,0.3
0.68,1.36,1.4480767699288333-4.3464967820625815E-6i,1.44807677,4.35E-06,3.561524303,-73.40192394,0.3
0.7,1.36,1.447184216022172-3.830156652894905E-6i,1.447184216,3.83E-06,3.048765065,-11.19569029,0.3
